대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,10580,금호전설 주식회사,고명규,제주특별자치도 제주시 신성로4길,제주-00379,2218656000,,,,,,
전기설비,전기공사업,17312,금호전설 주식회사,김평호,충청남도 보령시 웅천읍 장터중앙길,충남-01584,1161146000,,,,,,
전기설비,전기공사업,176,금호전업(주),성환준,울산광역시 남구 온산로,울산-00020,44833436000,,,,,,
전기설비,전기공사업,13119,주식회사 금호테크,진금옥,경상북도 포항시 북구 장량로263번길,경북-02173,1765261000,,,,,,
전기설비,전기공사업,878,주식회사 금호테크닉스,임춘기,경상북도 구미시 산호대로,대구-01158,15543694000,,,,,,
전기설비,전기공사업,8560,주식회사 금홍이엔씨,김권홍,제주특별자치도 제주시 번영로,제주-00419,2723854000,,,,,,
전기설비,전기공사업,492,금화씨앤이 주식회사,육상윤,"경기도 성남시 중원구 둔촌대로466번길 8,",서울-02656,22891527000,,,,,,
전기설비,전기공사업,19065,주식회사 금화이엔씨,이태규,"충청남도 서산시 명륜1로 82,",경기-06923,898879000,,,,,,
전기설비,전기공사업,19340,(유)금화이엔에스,서해근,전남광주통합특별시 담양군 대전면 응기길,전남-01268,853364000,,,,,,
전기설비,전기공사업,15894,(주)금화전기,남성한,부산광역시 북구 덕천로386번길,부산-00547,1351257000,,,,,,
전기설비,전기공사업,19760,주식회사 금화전기,이영복,전북특별자치도 전주시 덕진구 번영로 245(성덕동),전북-01890,771789000,,,,,,
전기설비,전기공사업,14243,주식회사 금화전기,곽재명,대구광역시 달성군 구지면 구지동로,대구-01360,1580365000,,,,,,
전기설비,전기공사업,15080,주식회사 금화전기,박철웅,"경기도 화성시 동탄구 동탄대로 643,",경기-05804,1461253000,,,,,,
전기설비,전기공사업,14880,주식회사 금화전기,김나현,충청북도 충주시 어림1길 25(안림동),충북-00937,1490383000,,,,,,
전기설비,전기공사업,20949,주식회사 금화전력,김순희,"충청북도 영동군 영동읍 기골로 199,",충북-01313,258750000,,,,,,
전기설비,전기공사업,15748,금화전력 주식회사,윤미진,충청북도 단양군 대강면,충북-01020,1369413000,,,,,,
전기설비,전기공사업,14940,금화전력공사,이계성,서울특별시 노원구 상계로23길,서울-03588,1482605000,,,,,,
전기설비,전기공사업,4969,금화전설 주식회사,윤연희,울산광역시 울주군 언양읍 언양로 585,경남-00114,4392507000,,,,,,
전기설비,전기공사업,4058,주식회사 금화전통,송영준,경기도 화성시 효행구 매송면 화성로,경기-05129,5196410000,,,,,,
전기설비,전기공사업,14371,주식회사 금화정수,김동진,경기도 안산시 단원구 산단로83번길,경기-02070,1563328000,,,,,,
전기설비,전기공사업,5,(주)금화피에스시,김경태 외1명,서울특별시 강남구 테헤란로25길,서울-00395,892087402000,,,,,,
전기설비,전기공사업,13280,주식회사 금환이엔씨,김성환,전남광주통합특별시 순천시 서면 화정1길,전남-01516,1738115000,,,,,,
전기설비,전기공사업,15797,금후전기 주식회사,김현,전북특별자치도 고창군 고창읍,전남-01887,1363625000,,,,,,
전기설비,전기공사업,5811,유한회사 기가쏠라,고영인 외1명,전남광주통합특별시 목포시 평화로,경남-02186,3813111000,,,,,,
전기설비,전기공사업,16278,주식회사 기가와트,정철민,전북특별자치도 군산시 임피면 동군산로 810-19,전북-01499,1297016000,,,,,,
전기설비,전기공사업,6513,주식회사 기가이엔씨,김주란,전북특별자치도 군산시 옥구읍,전북-01498,3466399000,,,,,,
전기설비,전기공사업,770,기가전력 주식회사,이경로,경상북도 구미시 거양길,경북-00940,17075129000,,,,,,
전기설비,전기공사업,21044,주식회사 기가차,박찬희,"경기도 평택시 고덕중앙로 322, 136호",경기-07841,243919000,,,,,,
전기설비,전기공사업,3201,주식회사 기경,김동화,전남광주통합특별시 순천시 양율길 326(인월동),경기-00990,6305528000,,,,,,
전기설비,전기공사업,9216,주식회사 기공전설,최시원,경상남도 합천군 삼가면 삼가로 14,경남-02392,2546904000,,,,,,
전기설비,전기공사업,615,(주)기광전기,이음복,"경기도 화성시 동탄구 동탄대로 683,",서울-04114,19773781000,,,,,,
전기설비,전기공사업,17530,주식회사 기다림,이숙희,전남광주통합특별시 보성군 벌교읍 채동선로 310,전남-01958,1129233000,,,,,,
전기설비,전기공사업,20774,기담 주식회사,정광연,경기도 화성시 만세구 남양읍 남양로,경기-06740,419419000,,,,,,
전기설비,전기공사업,5584,주식회사 기대이앤씨,황효일 외1명,경기도 성남시 중원구 둔촌대로,경기-06054,3954286000,,,,,,
전기설비,전기공사업,2632,기대전기 주식회사,임예지,서울특별시 서초구 탑성말길,서울-00040,7284237000,,,,,,
전기설비,전기공사업,2745,기대전기통신(주),김동일,부산광역시 기장군 장안읍 길천길,부산-00668,7085503000,,,,,,
전기설비,전기공사업,21335,주식회사 기데크,안득찬,인천광역시 남동구 남동서로 254,인천-01559,0,,,,,,
전기설비,전기공사업,5360,(주)기돈하이텍크,강정구,충청남도 천안시 동남구 목천읍 소사2길,경2 -00146,4087486000,,,,,,
전기설비,전기공사업,16600,주식회사 기량전기,이명숙,부산광역시 영도구 해양로,부산-01682,1255449000,,,,,,
전기설비,전기공사업,180,기룡이엔씨 주식회사,이중선,경기도 평택시 고덕국제대로,대전-00427,44447937000,,,,,,
전기설비,전기공사업,7597,주식회사 기룡이엔지,조미경,"충청남도 계룡시 서금암1길 8,",충남-00566,3036161000,,,,,,
전기설비,전기공사업,15065,기룡전기,사금연,대구광역시 수성구 고모로18길 21,대구-01422,1462450000,,,,,,
전기설비,전기공사업,3474,주식회사 기린전력,김삼수,"충청남도 서산시 잠홍2길 110,",대전-00828,5917445000,,,,,,
전기설비,전기공사업,18251,주식회사 기린전력,이지숙,경상북도 포항시 남구,경북-02156,1025755000,,,,,,
