대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
기계설비,기계설비·가스공사업,5560,(주)정이엔지,김재남,서울,강남-20-10-09,4,0,0,4,0,0,2
기계설비,기계설비·가스공사업,5561,정이엔지(주),곽병건,인천,인천남구2017-10-01,2410,945,977,446,40,1929,3
기계설비,기계설비·가스공사업,5562,(주)정익엔지니어링,정용봉,부산,부산진-99-12-8,4485,1763,2225,320,176,1189,2
기계설비,기계설비·가스공사업,5563,(주)정인기공,백준선,전남,광주동2016-10-05,2125,549,1105,446,23,936,3
기계설비,기계설비·가스공사업,5564,(주)정인시스템공조,이용훈,부산,부산동래2019-10-2,1732,284,1137,297,12,211,2
기계설비,기계설비·가스공사업,5565,(주)정인에너지,김오선,광주,광주서2016-23-01,1921,202,1114,595,8,285,4
기계설비,기계설비·가스공사업,5566,(주)정인이엔지,곽인수,경기,광주동2015-10-07,2349,668,1310,342,28,1460,2
기계설비,기계설비·가스공사업,5567,정일씨엔아이(주),유지봉,서울,금천-20-10-14,1078,48,642,386,0,171,2
기계설비,기계설비·가스공사업,5568,(주)정일이앤이,박상은,충남,충남천안2025-파-04호,552,0,254,297,0,0,2
기계설비,기계설비·가스공사업,5569,정임건설(주),김언진,강원,안산-2000-27-286,1019,197,355,446,19,130,3
기계설비,기계설비·가스공사업,5570,정주산업기계(주),정홍주,인천,인천서구2021-10-05,1751,207,1245,297,0,335,2
기계설비,기계설비·가스공사업,5571,정진가스설비엔지니어링(주),이재권,경기,용인2008-23-01,3628,1171,1327,1046,83,1128,7
기계설비,기계설비·가스공사업,5572,정진가스텍(주),최현옥,충북,충북청주 22-파-20,882,203,309,368,0,406,4
기계설비,기계설비·가스공사업,5573,(주)정진설비,김종배,부산,부산-99-12-01,45894,25552,11145,6641,2555,32162,20
기계설비,기계설비·가스공사업,5574,정진에너지(주),정두희,경기,구리-2008-23-1,682,187,35,446,13,273,3
기계설비,기계설비·가스공사업,5575,(유)정진에너지,황성하,전남,목포2010-23-01,1990,254,1122,595,18,298,4
기계설비,기계설비·가스공사업,5576,(주)정진이앤지,김현주,충남,전남장성2019-10-02,1894,997,556,297,42,1645,2
기계설비,기계설비·가스공사업,5577,(주)정진테크,김정현,광주,광주서-24-파-01,865,317,227,319,0,453,3
기계설비,기계설비·가스공사업,5578,정진플랜트(주),전경민,서울,금천-21-10-04,1014,352,259,401,0,416,3
기계설비,기계설비·가스공사업,5579,(유)정진플랜트,곽영도,전북,전북익산2010-12-20,2721,1618,518,468,115,3213,3
기계설비,기계설비·가스공사업,5580,(주)정진플랜트설비,손호식,충북,제주특별자치 제주2010-10-02,4209,829,2725,595,59,1509,4
기계설비,기계설비·가스공사업,5581,(주)정하,김용,강원,삼척2018-10-02호,1633,259,1049,313,11,575,2
기계설비,기계설비·가스공사업,5582,정한에스앤티,정명한,경기,안산2017-10-07,1495,142,900,446,6,355,3
기계설비,기계설비·가스공사업,5583,(주)정한엔지니어링,박향숙,경기,금천-14-10-11,4015,2298,778,772,164,3842,4
기계설비,기계설비·가스공사업,5584,(주)정한이엔씨,엄창섭,서울,송파-23-파-06,550,66,38,446,0,117,3
기계설비,기계설비·가스공사업,5585,(주)정현이엔씨,조재혁,광주,광주북2018-10-02,1623,546,594,459,23,1394,3
기계설비,기계설비·가스공사업,5586,(주)정호이앤씨,최두환,인천,인천-94-12-20,111925,55058,34771,16526,5568,90655,15
기계설비,기계설비·가스공사업,5587,(주)정호이엔씨,"김정남, 김대정",부산,부산연제2002-12-2,5100,2356,2051,456,236,3605,3
기계설비,기계설비·가스공사업,5588,(주)정훈공조,권욱진,대구,수성구2009-12-04,6127,2333,3325,301,166,3067,2
기계설비,기계설비·가스공사업,5589,정희산업(주),서영민,경기,성동18-10-01,3232,1431,1292,446,61,754,3
기계설비,기계설비·가스공사업,5590,(주)제네코,김형종,충남,충남천안-2015-23-01,2982,951,886,1103,40,1802,7
기계설비,기계설비·가스공사업,5591,(주)제넥,서정기,경남,창원성산2014-10-04,0,0,0,0,0,0,5
기계설비,기계설비·가스공사업,5592,제노이엔씨(주),박대희,충남,충남천안-2017-10-09,2320,1462,0,669,188,0,4
기계설비,기계설비·가스공사업,5593,(주)제니스클라우드,"이재호, 이주완",서울,성남16-10-5,21789,11208,9781,320,480,3516,2
기계설비,기계설비·가스공사업,5594,(주)제스코,심성천,제주,제주 제주2009-10-02,2636,1076,1014,468,76,755,3
기계설비,기계설비·가스공사업,5595,(주)제아이엔지,박인규,경기,수원2018-23-02,2058,859,269,893,37,737,6
기계설비,기계설비·가스공사업,5596,(주)제우테크,박연진,서울,양천2019-10-03,3056,721,1971,333,30,222,2
기계설비,기계설비·가스공사업,5597,(주)제유이앤씨,이정훈,서울,송파-10-10-08,1607,657,412,491,46,645,3
기계설비,기계설비·가스공사업,5598,(주)제이,이준석,충북,충북제천2016-10-3,2579,472,1789,297,20,1057,2
