대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
소방설비,소방시설공사업,5647.0,(주)금강전설,임현,경기(남),2015-02-00342,678000,,,,,,
소방설비,소방시설공사업,5648.0,대한전력산업(주),정동순,광주,2019-02-00484,677700,,,,,,
소방설비,소방시설공사업,5649.0,주식회사 삼도전력,박인호,충북,2017-02-00487,677400,,,,,,
소방설비,소방시설공사업,5650.0,주식회사 건우이엔지,나건우,대전,2018-02-00315,676100,,,,,,
소방설비,소방시설공사업,5651.0,주식회사 혜성,정철,경기(북),2023-02-00334,676100,,,,,,
소방설비,소방시설공사업,5651.0,주식회사 우주종합전력,임지안,경기(북),2023-02-00389,676100,,,,,,
소방설비,소방시설공사업,5653.0,(주)명전사,김학목,대구,제2007-1호,676100,,,,,,
소방설비,소방시설공사업,5654.0,(주)코젠,윤성훈,서울,2023-02-00199,676100,,,,,,
소방설비,소방시설공사업,5655.0,(주)용산에프비이엔지,윤도경,서울,제용산2013-04호,675700,,,,,,
소방설비,소방시설공사업,5656.0,성운전력 주식회사,오병주,전북,2020-02-00539,675200,,,,,,
소방설비,소방시설공사업,28.0,주식회사 파인솔라,이태동,서울,2016-02-00403,674900,,,,,,
소방설비,소방시설공사업,5657.0,주식회사 태동건설,이나영,경북,2018-02-00251,674400,,,,,,
